path,sloc,normalized_sloc,cyclomatic,halstead,maintainability,churn,churn_per_sloc,decayed_churn,decayed_churn_per_sloc,smell_count,smell_severity,smell_burden,smells,similarity_score,similarity_band,match_count,score,norm_normalized_sloc,norm_sloc,norm_cyclomatic,norm_halstead,norm_maintainability,norm_churn,norm_churn_per_sloc,norm_decayed_churn,norm_decayed_churn_per_sloc,norm_smell_count,norm_match_count,norm_similarity_score
BusinessGlossaryKG/pipelines/complete_pipeline.py::run_complete_pipeline_experiment,820,16.5910,140,2681,99,2702,3.2951,946.4121,1.1542,3,0.6833,0.4667,"{""long_parameter_list"": 1, ""switch_statements"": 1, ""long_method"": 1}",38.4100,none,0,161.5826,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4333,0.0000,1.0000
BusinessGlossaryKG/graph_build/graph_merge.py::merge_graph_documents,148,2.6068,57,550,52,449,3.0338,157.2683,1.0626,4,0.6625,0.4979,"{""switch_statements"": 1, ""long_method"": 1, ""dead_code"": 1, ""speculative_generality"": 1}",53.0000,low,0,60.5696,1.0000,1.0000,1.0000,1.0000,0.3920,1.0000,1.0000,1.0000,1.0000,0.5667,0.0000,1.0000
BusinessGlossaryKG/graph_build/node_enrichment.py::run_node_enrichment._single_iteration,73,1.0460,13,98,52,944,12.9315,317.3793,4.3477,0,0.0000,0.0000,{},50.7300,low,0,56.5196,0.7092,1.0000,0.6500,0.3900,0.3920,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/taxonomy_iteration.py::run_taxonomy_iteration,441,8.7041,63,1560,83,991,2.2472,333.1811,0.7555,11,0.6318,0.7742,"{""long_parameter_list"": 2, ""switch_statements"": 2, ""long_method"": 2, ""unused_parameters"": 3, ""dead_code"": 1, ""speculative_generality"": 1}",39.7800,none,0,47.5973,1.0000,1.0000,1.0000,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/taxonomy_iteration.py::_create_node_sections_document_and_transformer,86,1.3165,13,190,83,738,8.5814,248.1207,2.8851,3,0.6000,0.4250,"{""long_parameter_list"": 1, ""dead_code"": 1, ""speculative_generality"": 1}",51.2100,low,0,37.5066,0.7633,1.0000,0.6500,0.6700,0.9600,1.0000,1.0000,1.0000,1.0000,0.4333,0.0000,1.0000
BusinessGlossaryKG/graph_build/relationships_merge.py::merge_relationships,83,1.2541,14,82,62,588,7.0843,196.4803,2.3672,0,0.0000,0.0000,{},54.5300,low,0,33.1413,0.7508,1.0000,0.7000,0.3100,0.5520,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/node_enrichment.py::post_process_node_enrichment,23,0.0055,7,50,52,322,14.0000,108.2586,4.7069,1,0.5500,0.3167,"{""unused_parameters"": 1}",57.8200,low,0,32.9483,0.5011,1.0000,0.2600,0.1500,0.3920,1.0000,1.0000,1.0000,1.0000,0.1500,0.0000,1.0000
BusinessGlossaryKG/graph_build/taxonomy_iteration.py::run_enhanced_taxonomy_refinement._execute._recursive_enhanced_refine,127,2.1697,21,428,83,537,4.2283,180.5431,1.4216,7,0.6143,0.5988,"{""long_method"": 1, ""dead_code"": 3, ""speculative_generality"": 3}",69.9100,low,0,29.8536,0.9339,1.0000,1.0000,1.0000,0.9600,1.0000,1.0000,1.0000,1.0000,0.8200,0.0000,1.0000
BusinessGlossaryKG/graph_build/node_enrichment.py::run_node_enrichment._recursive_enrich,92,1.4414,19,453,52,394,4.2826,132.4655,1.4398,0,0.0000,0.0000,{},52.6300,low,0,27.3570,0.7883,1.0000,0.9500,1.0000,0.3920,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
BusinessGlossaryKG/graph_build/other_relationships_iteration.py::run_other_relationships_iteration._single_iteration,162,2.8981,31,346,65,420,2.5926,141.2069,0.8716,2,0.7250,0.4458,"{""switch_statements"": 1, ""long_method"": 1}",64.7600,low,0,27.0211,1.0000,1.0000,1.0000,0.9190,0.6000,1.0000,1.0000,1.0000,1.0000,0.3000,0.0000,1.0000
